date,prefecture_code,cases
2020-01-16,01,0
2020-01-16,02,0
2020-01-16,03,0
2020-01-16,04,0
2020-01-16,05,0
2020-01-16,06,0
2020-01-16,07,0
2020-01-16,08,0
2020-01-16,09,0
2020-01-16,10,0
2020-01-16,11,0
2020-01-16,12,0
2020-01-16,13,0
2020-01-16,14,1
2020-01-16,15,0
2020-01-16,16,0
2020-01-16,17,0
2020-01-16,18,0
2020-01-16,19,0
2020-01-16,20,0
2020-01-16,21,0
2020-01-16,22,0
2020-01-16,23,0
2020-01-16,24,0
2020-01-16,25,0
2020-01-16,26,0
2020-01-16,27,0
2020-01-16,28,0
2020-01-16,29,0
2020-01-16,30,0
2020-01-16,31,0
2020-01-16,32,0
2020-01-16,33,0
2020-01-16,34,0
2020-01-16,35,0
2020-01-16,36,0
2020-01-16,37,0
2020-01-16,38,0
2020-01-16,39,0
2020-01-16,40,0
2020-01-16,41,0
2020-01-16,42,0
2020-01-16,43,0
2020-01-16,44,0
2020-01-16,45,0
2020-01-16,46,0
2020-01-16,47,0
2020-01-17,01,0
2020-01-17,02,0
2020-01-17,03,0
2020-01-17,04,0
2020-01-17,05,0
2020-01-17,06,0
2020-01-17,07,0
2020-01-17,08,0
2020-01-17,09,0
2020-01-17,10,0
2020-01-17,11,0
2020-01-17,12,0
2020-01-17,13,0
2020-01-17,14,0
2020-01-17,15,0
2020-01-17,16,0
2020-01-17,17,0
2020-01-17,18,0
2020-01-17,19,0
2020-01-17,20,0
2020-01-17,21,0
2020-01-17,22,0
2020-01-17,23,0
2020-01-17,24,0
2020-01-17,25,0
2020-01-17,26,0
2020-01-17,27,0
2020-01-17,28,0
2020-01-17,29,0
2020-01-17,30,0
2020-01-17,31,0
2020-01-17,32,0
2020-01-17,33,0
2020-01-17,34,0
2020-01-17,35,0
2020-01-17,36,0
2020-01-17,37,0
2020-01-17,38,0
2020-01-17,39,0
2020-01-17,40,0
2020-01-17,41,0
2020-01-17,42,0
2020-01-17,43,0
2020-01-17,44,0
2020-01-17,45,0
2020-01-17,46,0
2020-01-17,47,0
2020-01-18,01,0
2020-01-18,02,0
2020-01-18,03,0
2020-01-18,04,0
2020-01-18,05,0
2020-01-18,06,0
2020-01-18,07,0
2020-01-18,08,0
2020-01-18,09,0
2020-01-18,10,0
2020-01-18,11,0
2020-01-18,12,0
2020-01-18,13,0
2020-01-18,14,0
2020-01-18,15,0
2020-01-18,16,0
2020-01-18,17,0
2020-01-18,18,0
2020-01-18,19,0
2020-01-18,20,0
2020-01-18,21,0
2020-01-18,22,0
2020-01-18,23,0
2020-01-18,24,0
2020-01-18,25,0
2020-01-18,26,0
2020-01-18,27,0
2020-01-18,28,0
2020-01-18,29,0
2020-01-18,30,0
2020-01-18,31,0
2020-01-18,32,0
2020-01-18,33,0
2020-01-18,34,0
2020-01-18,35,0
2020-01-18,36,0
2020-01-18,37,0
2020-01-18,38,0
2020-01-18,39,0
2020-01-18,40,0
2020-01-18,41,0
2020-01-18,42,0
2020-01-18,43,0
2020-01-18,44,0
2020-01-18,45,0
2020-01-18,46,0
2020-01-18,47,0
2020-01-19,01,0
2020-01-19,02,0
2020-01-19,03,0
2020-01-19,04,0
2020-01-19,05,0
2020-01-19,06,0
2020-01-19,07,0
2020-01-19,08,0
2020-01-19,09,0
2020-01-19,10,0
2020-01-19,11,0
2020-01-19,12,0
2020-01-19,13,0
2020-01-19,14,0
2020-01-19,15,0
2020-01-19,16,0
2020-01-19,17,0
2020-01-19,18,0
2020-01-19,19,0
2020-01-19,20,0
2020-01-19,21,0
2020-01-19,22,0
2020-01-19,23,0
2020-01-19,24,0
2020-01-19,25,0
2020-01-19,26,0
2020-01-19,27,0
2020-01-19,28,0
2020-01-19,29,0
2020-01-19,30,0
2020-01-19,31,0
2020-01-19,32,0
2020-01-19,33,0
2020-01-19,34,0
2020-01-19,35,0
2020-01-19,36,0
2020-01-19,37,0
2020-01-19,38,0
2020-01-19,39,0
2020-01-19,40,0
2020-01-19,41,0
2020-01-19,42,0
2020-01-19,43,0
2020-01-19,44,0
2020-01-19,45,0
2020-01-19,46,0
2020-01-19,47,0
2020-01-20,01,0
2020-01-20,02,0
2020-01-20,03,0
2020-01-20,04,0
2020-01-20,05,0
2020-01-20,06,0
2020-01-20,07,0
2020-01-20,08,0
2020-01-20,09,0
2020-01-20,10,0
2020-01-20,11,0
2020-01-20,12,0
2020-01-20,13,0
2020-01-20,14,0
2020-01-20,15,0
2020-01-20,16,0
2020-01-20,17,0
2020-01-20,18,0
2020-01-20,19,0
2020-01-20,20,0
2020-01-20,21,0
2020-01-20,22,0
2020-01-20,23,0
2020-01-20,24,0
2020-01-20,25,0
2020-01-20,26,0
2020-01-20,27,0
2020-01-20,28,0
2020-01-20,29,0
2020-01-20,30,0
2020-01-20,31,0
2020-01-20,32,0
2020-01-20,33,0
2020-01-20,34,0
2020-01-20,35,0
2020-01-20,36,0
2020-01-20,37,0
2020-01-20,38,0
2020-01-20,39,0
2020-01-20,40,0
2020-01-20,41,0
2020-01-20,42,0
2020-01-20,43,0
2020-01-20,44,0
2020-01-20,45,0
2020-01-20,46,0
2020-01-20,47,0
2020-01-21,01,0
2020-01-21,02,0
2020-01-21,03,0
2020-01-21,04,0
2020-01-21,05,0
2020-01-21,06,0
2020-01-21,07,0
2020-01-21,08,0
2020-01-21,09,0
2020-01-21,10,0
2020-01-21,11,0
2020-01-21,12,0
2020-01-21,13,0
2020-01-21,14,0
2020-01-21,15,0
2020-01-21,16,0
2020-01-21,17,0
2020-01-21,18,0
2020-01-21,19,0
2020-01-21,20,0
2020-01-21,21,0
2020-01-21,22,0
2020-01-21,23,0
2020-01-21,24,0
2020-01-21,25,0
2020-01-21,26,0
2020-01-21,27,0
2020-01-21,28,0
2020-01-21,29,0
2020-01-21,30,0
2020-01-21,31,0
2020-01-21,32,0
2020-01-21,33,0
2020-01-21,34,0
2020-01-21,35,0
2020-01-21,36,0
2020-01-21,37,0
2020-01-21,38,0
2020-01-21,39,0
2020-01-21,40,0
2020-01-21,41,0
2020-01-21,42,0
2020-01-21,43,0
2020-01-21,44,0
2020-01-21,45,0
2020-01-21,46,0
2020-01-21,47,0
2020-01-22,01,0
2020-01-22,02,0
2020-01-22,03,0
2020-01-22,04,0
2020-01-22,05,0
2020-01-22,06,0
2020-01-22,07,0
2020-01-22,08,0
2020-01-22,09,0
2020-01-22,10,0
2020-01-22,11,0
2020-01-22,12,0
2020-01-22,13,0
2020-01-22,14,0
2020-01-22,15,0
2020-01-22,16,0
2020-01-22,17,0
2020-01-22,18,0
2020-01-22,19,0
2020-01-22,20,0
2020-01-22,21,0
2020-01-22,22,0
2020-01-22,23,0
2020-01-22,24,0
2020-01-22,25,0
2020-01-22,26,0
2020-01-22,27,0
2020-01-22,28,0
2020-01-22,29,0
2020-01-22,30,0
2020-01-22,31,0
2020-01-22,32,0
2020-01-22,33,0
2020-01-22,34,0
2020-01-22,35,0
2020-01-22,36,0
2020-01-22,37,0
2020-01-22,38,0
2020-01-22,39,0
2020-01-22,40,0
2020-01-22,41,0
2020-01-22,42,0
2020-01-22,43,0
2020-01-22,44,0
2020-01-22,45,0
2020-01-22,46,0
2020-01-22,47,0
2020-01-23,01,0
2020-01-23,02,0
2020-01-23,03,0
2020-01-23,04,0
2020-01-23,05,0
2020-01-23,06,0
2020-01-23,07,0
2020-01-23,08,0
2020-01-23,09,0
2020-01-23,10,0
2020-01-23,11,0
2020-01-23,12,0
2020-01-23,13,0
2020-01-23,14,0
2020-01-23,15,0
2020-01-23,16,0
2020-01-23,17,0
2020-01-23,18,0
2020-01-23,19,0
2020-01-23,20,0
2020-01-23,21,0
2020-01-23,22,0
2020-01-23,23,0
2020-01-23,24,0
2020-01-23,25,0
2020-01-23,26,0
2020-01-23,27,0
2020-01-23,28,0
2020-01-23,29,0
2020-01-23,30,0
2020-01-23,31,0
2020-01-23,32,0
2020-01-23,33,0
2020-01-23,34,0
2020-01-23,35,0
2020-01-23,36,0
2020-01-23,37,0
2020-01-23,38,0
2020-01-23,39,0
2020-01-23,40,0
2020-01-23,41,0
2020-01-23,42,0
2020-01-23,43,0
2020-01-23,44,0
2020-01-23,45,0
2020-01-23,46,0
2020-01-23,47,0
2020-01-24,01,0
2020-01-24,02,0
2020-01-24,03,0
2020-01-24,04,0
2020-01-24,05,0
2020-01-24,06,0
2020-01-24,07,0
2020-01-24,08,0
2020-01-24,09,0
2020-01-24,10,0
2020-01-24,11,0
2020-01-24,12,0
2020-01-24,13,1
2020-01-24,14,0
2020-01-24,15,0
2020-01-24,16,0
2020-01-24,17,0
2020-01-24,18,0
2020-01-24,19,0
2020-01-24,20,0
2020-01-24,21,0
2020-01-24,22,0
2020-01-24,23,0
2020-01-24,24,0
2020-01-24,25,0
2020-01-24,26,0
2020-01-24,27,0
2020-01-24,28,0
2020-01-24,29,0
2020-01-24,30,0
2020-01-24,31,0
2020-01-24,32,0
2020-01-24,33,0
2020-01-24,34,0
2020-01-24,35,0
2020-01-24,36,0
2020-01-24,37,0
2020-01-24,38,0
2020-01-24,39,0
2020-01-24,40,0
2020-01-24,41,0
2020-01-24,42,0
2020-01-24,43,0
2020-01-24,44,0
2020-01-24,45,0
2020-01-24,46,0
2020-01-24,47,0
2020-01-25,01,0
2020-01-25,02,0
2020-01-25,03,0
2020-01-25,04,0
2020-01-25,05,0
2020-01-25,06,0
2020-01-25,07,0
2020-01-25,08,0
2020-01-25,09,0
2020-01-25,10,0
2020-01-25,11,0
2020-01-25,12,0
2020-01-25,13,1
2020-01-25,14,0
2020-01-25,15,0
2020-01-25,16,0
2020-01-25,17,0
2020-01-25,18,0
2020-01-25,19,0
