date,prefecture_code,gender,elderly,status,count
2021-04-12,01,F,0,1,3
2021-04-12,01,F,1,1,74
2021-04-12,01,M,0,1,1
2021-04-12,01,M,1,1,19
2021-04-12,01,U,NA,1,17
2021-04-12,02,F,0,1,5
2021-04-12,02,F,1,1,101
2021-04-12,02,M,0,1,4
2021-04-12,02,M,1,1,42
2021-04-12,02,U,NA,1,56
2021-04-12,03,F,0,1,2
2021-04-12,03,F,1,1,20
2021-04-12,03,M,0,1,2
2021-04-12,03,M,1,1,20
2021-04-12,03,U,NA,1,10
2021-04-12,04,F,0,1,11
2021-04-12,04,F,1,1,2
2021-04-12,04,M,0,1,1
2021-04-12,04,M,1,1,1
2021-04-12,05,F,0,1,12
2021-04-12,05,F,1,1,5
2021-04-12,05,M,0,1,3
2021-04-12,06,F,0,1,1
2021-04-12,06,F,1,1,19
2021-04-12,06,M,1,1,11
2021-04-12,06,U,NA,1,7
2021-04-12,07,F,0,1,2
2021-04-12,07,F,1,1,81
2021-04-12,07,M,1,1,118
2021-04-12,07,U,NA,1,2
2021-04-12,08,F,0,1,38
2021-04-12,08,F,1,1,2
2021-04-12,08,M,0,1,14
2021-04-12,08,M,1,1,2
2021-04-12,09,F,1,1,6
2021-04-12,09,M,1,1,2
2021-04-12,09,U,NA,1,2
2021-04-12,10,F,0,1,4
2021-04-12,10,F,1,1,41
2021-04-12,10,M,1,1,22
2021-04-12,10,U,NA,1,9
2021-04-12,11,F,0,1,63
2021-04-12,11,F,1,1,101
2021-04-12,11,M,0,1,24
2021-04-12,11,M,1,1,26
2021-04-12,11,U,NA,1,27
2021-04-12,12,F,0,1,4
2021-04-12,12,F,1,1,10
2021-04-12,12,M,0,1,3
2021-04-12,12,M,1,1,1
2021-04-12,12,U,NA,1,4
2021-04-12,13,F,0,1,60
2021-04-12,13,F,1,1,159
2021-04-12,13,M,0,1,47
2021-04-12,13,M,1,1,135
2021-04-12,13,U,NA,1,17
2021-04-12,14,F,0,1,47
2021-04-12,14,F,1,1,42
2021-04-12,14,M,0,1,27
2021-04-12,14,M,1,1,27
2021-04-12,14,U,NA,1,32
2021-04-12,15,F,0,1,9
2021-04-12,15,F,1,1,37
2021-04-12,15,M,0,1,5
2021-04-12,15,M,1,1,10
2021-04-12,15,U,NA,1,8
2021-04-12,16,F,0,1,3
2021-04-12,16,F,1,1,14
2021-04-12,16,M,1,1,6
2021-04-12,16,U,NA,1,11
2021-04-12,17,F,0,1,9
2021-04-12,17,M,0,1,2
2021-04-12,17,M,1,1,2
2021-04-12,18,F,0,1,29
2021-04-12,18,F,1,1,97
2021-04-12,18,M,0,1,7
2021-04-12,18,M,1,1,24
2021-04-12,18,U,NA,1,21
2021-04-12,20,F,0,1,2
2021-04-12,20,F,1,1,2
2021-04-12,20,M,0,1,1
2021-04-12,20,M,1,1,2
2021-04-12,20,U,NA,1,1
2021-04-12,21,F,1,1,1
2021-04-12,21,M,1,1,2
2021-04-12,21,U,NA,1,11
2021-04-12,22,F,0,1,214
2021-04-12,22,F,1,1,19
2021-04-12,22,M,0,1,72
2021-04-12,22,M,1,1,11
2021-04-12,23,F,0,1,4
